date,meeting_number,meeting_venue,race_number,race_name,distance,track_condition,weather,advertised_start,runner_number,runner_name,barrier,jockey,win_fixed,place_fixed,win_tote,place_tote,finish_position,advertised_start_iso
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,2,Homebush Jaxon,2,,,,55.6,6.3,3.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,3,Sozin's Queen,3,,,,,,,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,4,Gotcha Jasper,4,,,,1.0,1.2,1.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,5,Ruby Red Dress,5,,,,50.4,4.7,4.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,6,Tiger Jane,6,,,,47.4,6.4,6.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,7,Homebush Richie,7,,,,20.2,1.6,5.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,8,Koby Curber,8,,,,27.2,2.2,2.0,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,9,Homebush Stella,0,,,,,,,
2025-08-18,3,Addington,1,TRACED FROM BIRTH TO ADOPTION SPRINT PBD,,,FINE,,10,Give It Up,0,,,,,,,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,2,Know Gloating,2,,,,3.3,1.5,2.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,3,Homebush Dove,3,,,,35.0,10.6,6.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,4,Sozin's Royal,4,,,,21.0,4.3,5.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,5,Salted Caramel,5,,,,1.7,1.4,4.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,6,Olive Tree,6,,,,9.4,3.3,7.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,7,Hilton Curry,7,,,,17.3,4.9,3.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,8,Homebush Opal,8,,,,15.5,5.2,1.0,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,9,Homebush Stella,0,,,,,,,
2025-08-18,3,Addington,2,BALCAIRN STOCK FOODS & PET SUPPLIES LTD SPRINT PBD,,,FINE,,10,Give It Up,0,,,,,,,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,2,Gotcha Sunny,2,,,,1.3,1.1,1.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,3,Alex Jewel,3,,,,5.2,1.5,4.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,4,Homebush Apollo,4,,,,25.3,11.2,5.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,5,Homebush Cinder,5,,,,20.5,4.1,3.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,6,Bucket Hat Blake,6,,,,,,,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,7,Daisy Lu,7,,,,8.5,3.2,2.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,8,Homebush Pearl,8,,,,16.9,5.4,6.0,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,9,Homebush Stella,0,,,,,,,
2025-08-18,3,Addington,3,O'SHEA'S PUBLIC HOUSE SPRINT PBD,,,FINE,,10,Give It Up,0,,,,,,,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,2,Homebush Harper,2,,,,12.3,3.3,4.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,3,Diamond Dolly,3,,,,1.7,1.1,2.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,4,Homebush Allison,4,,,,52.5,11.7,7.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,5,Alpha Whitey,5,,,,52.6,13.1,6.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,6,Homebush Heleena,6,,,,,,,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,7,Hilton Dots,7,,,,33.3,13.5,3.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,8,Little Miss Lu,8,,,,2.1,1.1,1.0,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,9,Homebush Stella,0,,,,,,,
2025-08-18,3,Addington,4,SUCK IT UP LTD DASH PBD,,,FINE,,10,Give It Up,6,,,,82.4,10.2,5.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,2,Kildy's Whiskey,2,,,,76.0,17.9,7.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,3,Queen Of Shadows,3,,,,2.4,1.4,2.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,4,Turn Step,4,,,,3.2,2.0,1.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,5,Dynamite Dollars,5,,,,3.9,1.6,4.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,6,Impressive Elf,6,,,,13.1,4.2,5.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,7,Homebush Nelly,7,,,,8.7,4.4,3.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,8,Homebush Corey,8,,,,83.1,18.9,6.0,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,9,Homebush Stella,0,,,,,,,
2025-08-18,3,Addington,5,PROTOCOL BAR & RESTAURANT DASH PBD,,,FINE,,10,Give It Up,0,,,,,,,
2025-08-18,3,Addington,6,RED SNAPPER SEAFOOD SUMNER SPRINT PBD,,,FINE,,1,Vacant Box,1,,,,,,,
2025-08-18,3,Addington,6,RED SNAPPER SEAFOOD SUMNER SPRINT PBD,,,FINE,,2,Homebush Charlie,2,,,,56.4,16.0,4.0,
2025-08-18,3,Addington,6,RED SNAPPER SEAFOOD SUMNER SPRINT PBD,,,FINE,,3,Homebush Bluey,3,,,,13.0,7.4,5.0,
2025-08-18,3,Addington,6,RED SNAPPER SEAFOOD SUMNER SPRINT PBD,,,FINE,,4,Impressive Nixon,4,,,,20.7,7.1,6.0,
