LGBM Rank DaySlip — 2025-08-14  (meets: 21, 22, 23, 24)
Bunbury  R1: 1) RIBELLATO** (#4 — Laqdar Ramoly)
Bunbury  R1: 2) BEGAAFD (#5 — William Pike)
Bunbury  R1: 3) ALNAUD** (#1 — Clint Johnston-Porter)

Bunbury  R2: 1) ARTISTRY IN MOTION* (#1 — Brad Parnham)
Bunbury  R2: 2) LORD ARCADIA** (#2 — Clint Johnston-Porter)
Bunbury  R2: 3) KERI COMMANDER* (#4 — Steven Parnham)

Bunbury  R3: 1) REBELNADO* (#2 — Brad Parnham)
Bunbury  R3: 2) BELLA VIOLETTA* (#5 — Chris Parnham)
Bunbury  R3: 3) SECRET INTENT* (#4 — Steven Parnham)

Bunbury  R4: 1) GIRLS ON FIRE (#6 — Chris Parnham)
Bunbury  R4: 2) THE LUCKY CHIP* (#5 — William Pike)
Bunbury  R4: 3) G'DAY BLOKE* (#1 — Jason Whiting)

Bunbury  R5: 1) MAGICASH* (#5 — William Pike)
Bunbury  R5: 2) PHAROAH SHOW (#4 — Amy Jo Hayes)
Bunbury  R5: 3) THREE GRAND* (#8 — Madi Derrick)

Bunbury  R6: 1) OLD MATE HENRY (#4 — William Pike)
Bunbury  R6: 2) OUI OUI LE VET* (#5 — Brad Parnham)
Bunbury  R6: 3) AIN'TNOCUREFORLOVE (#2 — Natika Riordan)

Bunbury  R7: 1) WORCESTER (#4 — William Pike)
Bunbury  R7: 2) BAY STREET* (#12 — Amy Jo Hayes)
Bunbury  R7: 3) FULL OF MERIT (#7 — Madi Derrick)

=========

Ipswich  R1: 1) DOWNTOWN EVIE* (#5 — Dan McGillivray)
Ipswich  R1: 2) CHARLOTTE'S HERE (#3 — Kyle Wilson-Taylor)
Ipswich  R1: 3) DIAMANTINA ROSE (#4 — Kenji Yoshida)

Ipswich  R2: 1) TREPORTI (#2 — Corey Sutherland)
Ipswich  R2: 2) MAYNE* (#3 — Justin Huxtable)
Ipswich  R2: 3) SHE'S EXOTIC (#8 — Andrew Mallyon)

Ipswich  R3: 1) HE IS THE KISS** (#4 — Brandon Lerena)
Ipswich  R3: 2) CONFISERIE (#16 — Damien Thornton)
Ipswich  R3: 3) MISS DRAMATIC* (#12 — Nozi Tomizawa)

Ipswich  R4: 1) STATE IN TEXAS (#4 — Corey Sutherland)
Ipswich  R4: 2) DON'T BE DRAMATIC (#6 — Jai Williams)
Ipswich  R4: 3) LI'L REX* (#12 — Cejay Graham)

Ipswich  R5: 1) OUR ORATOR* (#3 — Dan McGillivray)
Ipswich  R5: 2) AMALGAMATION (#10 — Bailey Wheeler)
Ipswich  R5: 3) GOOGAZ (#5 — Kyle Wilson-Taylor)

Ipswich  R6: 1) MOFEED (#7 — Ryan Maloney)
Ipswich  R6: 2) PRIVATE TENDER (#4 — Jasper Franklin)
Ipswich  R6: 3) BOLD JULIUS** (#1 — Leah Martyn)

Ipswich  R7: 1) ACAPULCO GIRL** (#5 — Ryan Maloney)
Ipswich  R7: 2) DISSELATION (#4 — Damien Thornton)
Ipswich  R7: 3) ESTRAPAZ (#1 — Jasper Franklin)

=========

Newcastle  R1: 1) SEPTIMUS* (#5 — Chad Lever)
Newcastle  R1: 2) TORPEDO TED* (#6 — Keagan Latham)
Newcastle  R1: 3) FAYE RUNAWAY** (#7 — Braith Nock)

Newcastle  R2: 1) EXTRA POWER* (#4 — Keagan Latham)
Newcastle  R2: 2) DOLLARS** (#3 — Ashley Morgan)
Newcastle  R2: 3) TORREY PINES (#8 — Louis-Philippe Beuzelin)

Newcastle  R3: 1) DIETRICH* (#7 — Anna Roper)
Newcastle  R3: 2) ALEXIOS* (#1 — Alysha Collett)
Newcastle  R3: 3) BURNING AMBITION* (#3 — Andrew Gibbons)

Newcastle  R4: 1) LUNA VOLANTI* (#7 — Andrew Gibbons)
Newcastle  R4: 2) LAST DRUID* (#1 — Mollie Fitzgerald)
Newcastle  R4: 3) BEAU BANDIT** (#5 — Louise Day)

Newcastle  R5: 1) THE STARS* (#8 — Rory Hutchings)
Newcastle  R5: 2) I WANNA BE* (#2 — Andrew Gibbons)
Newcastle  R5: 3) IN AND OUT* (#3 — Braith Nock)

Newcastle  R6: 1) AGED CARE** (#3 — Aaron Bullock)
Newcastle  R6: 2) IRON HAT* (#10 — Anna Roper)
Newcastle  R6: 3) BALLINDERRY SAL** (#9 — Leeshelle Small)

Newcastle  R7: 1) HIPPOLYTE ROCK* (#6 — Rory Hutchings)
Newcastle  R7: 2) ROCKBARTON FLASH (#7 — Keagan Latham)
Newcastle  R7: 3) INNCOURT** (#2 — Ashley Morgan)

Newcastle  R8: 1) UNREAL EXPECTATION (#7 — Chad Lever)
Newcastle  R8: 2) DEVIL RIDER (#1 — Alysha Collett)
Newcastle  R8: 3) OCEAN SHORES* (#12 — Leeshelle Small)

=========

Bendigo  R1: 1) PERFECT NIGHT* (#9 — Michael Dee)
Bendigo  R1: 2) POINT BARROW* (#10 — Daniel Stackhouse)
Bendigo  R1: 3) SHE MOVES TOO* (#12 — Jye McNeil)

Bendigo  R2: 1) TULCHAN (#10 — John Allen)
Bendigo  R2: 2) ALPINE HONEY (#1 — Dean Yendall)
Bendigo  R2: 3) PLASTIC DREAMS (#7 — Will Gordon)

Bendigo  R3: 1) FRIDAY FOLLY (#3 — Eoin Walsh)
Bendigo  R3: 2) LOTS OF TIME* (#5 — Beau Mertens)
