LGBM Rank DaySlip — 2025-08-15  (meets: 6, 21, 24, 26, 25)
Oamaru  R1: 1) PAIXIANO* (#2 — Corey Campbell)
Oamaru  R1: 2) TE KANAWA (#7 — Kendra Bakker)
Oamaru  R1: 3) BONNIEWEKA* (#6 — Leah Hemi)

Oamaru  R2: 1) SCHNELL** (#9 — Corey Campbell)
Oamaru  R2: 2) MATAKANA PERKYNANA* (#5 — Leah Hemi)
Oamaru  R2: 3) HIGHLIGHTED* (#1 — Kylie Williams)

Oamaru  R3: 1) MOVE ON (#5 — Yogesh Atchamah)
Oamaru  R3: 2) FLYING DUBAWI* (#10 — Leah Hemi)
Oamaru  R3: 3) RED INFERNO* (#4 — Kylie Williams)

Oamaru  R4: 1) HONOKA* (#6 — Kylie Williams)
Oamaru  R4: 2) ASCEND* (#1 — Corey Campbell)
Oamaru  R4: 3) PRINCESS SOLITAIRE (#7 — Leah Hemi)

Oamaru  R5: 1) MATETSI (#7 — Yogesh Atchamah)
Oamaru  R5: 2) COSMETIC VIRTUE (#5 — Kylie Williams)
Oamaru  R5: 3) WILD JAKKAL* (#8 — Rohan Mudhoo)

Oamaru  R6: 1) KYBOSHE (#8 — Leah Hemi)
Oamaru  R6: 2) ENTERPRISE (#1 — Kylie Williams)
Oamaru  R6: 3) HAPPY STORY* (#2 — Kendra Bakker)

Oamaru  R7: 1) NIGHT RAIDER* (#4 — Kylie Williams)
Oamaru  R7: 2) KAISEDA (#12 — Kendra Bakker)
Oamaru  R7: 3) GAME DUKE (#10 — Yogesh Atchamah)

Oamaru  R8: 1) MORUS (#8 — Kylie Williams)
Oamaru  R8: 2) SACRED MIST (#7 — Leah Hemi)
Oamaru  R8: 3) OREPUKI GEM (#2 — Yogesh Atchamah)

=========

Sunshine Coast  R1: 1) TURBO TORQUE* (#3 — Ryan Maloney)
Sunshine Coast  R1: 2) BRITANNIA ROSE (#9 — Cejay Graham)
Sunshine Coast  R1: 3) THE WHEELBARROW* (#5 — Heavelon Van Der Hoven)

Sunshine Coast  R2: 1) WOWZINO (#6 — Ryan Maloney)
Sunshine Coast  R2: 2) LADY SANTOS* (#20 — Dan McGillivray)
Sunshine Coast  R2: 3) FROTHSAY* (#9 — Kyle Wilson-Taylor)

Sunshine Coast  R3: 1) FINAL VOYAGE (#11 — Ryan Maloney)
Sunshine Coast  R3: 2) MIDNIGHT MADNESS (#5 — Rob Thorburn)
Sunshine Coast  R3: 3) AVIOR (#10 — Sean Cormack)

Sunshine Coast  R4: 1) LIKEABEEL* (#4 — Dan McGillivray)
Sunshine Coast  R4: 2) WEONA REDWOOD* (#2 — Ryan Maloney)
Sunshine Coast  R4: 3) KENSHIN MARU* (#7 — Paul Hamblin)

Sunshine Coast  R5: 1) PROPONENT* (#10 — Kenji Yoshida)
Sunshine Coast  R5: 2) BONJOUR RUPERT* (#12 — Dan McGillivray)
Sunshine Coast  R5: 3) HE'S FOR THE GIRLS (#2 — Corey Sutherland)

Sunshine Coast  R6: 1) SHAMROCK'S SECRET* (#9 — Dan McGillivray)
Sunshine Coast  R6: 2) HEY CHARDONNAY (#10 — Justin Huxtable)
Sunshine Coast  R6: 3) KAMARIYA (#2 — Chloe Wells)

Sunshine Coast  R7: 1) ABSINTHE CAT (#1 — Jace McMurray)
Sunshine Coast  R7: 2) COUNT NICHOLAS* (#2 — Kyle Wilson-Taylor)
Sunshine Coast  R7: 3) GOLD REVOLUTION* (#3 — Rob Thorburn)

=========

Seymour  R1: 1) AFTER SUMMER* (#1 — Ben Melham)
Seymour  R1: 2) CLASSIC GEM** (#3 — Ben Allen)
Seymour  R1: 3) SAVVYON (#6 — Eoin Walsh)

Seymour  R2: 1) DECANTED (#12 — John Allen)
Seymour  R2: 2) MICKIDABEEL* (#3 — Dylan Dean)
Seymour  R2: 3) LEAN MEAN JESS** (#8 — Blaike McDougall)

Seymour  R3: 1) SHINY LOVE (#10 — Beau Mertens)
Seymour  R3: 2) CROWN OF RUSSIA (#12 — Daniel Stackhouse)
Seymour  R3: 3) DIVINE CLEMENTINE* (#7 — John Allen)

Seymour  R4: 1) PROSPEROUS STAR (#16 — Brittany Button)
Seymour  R4: 2) SECRET GLORY (#14 — Ben Melham)
Seymour  R4: 3) HELLO MISTRESS (#13 — Beau Mertens)

Seymour  R5: 1) GINA'S A STAR (#4 — John Allen)
Seymour  R5: 2) PEPE (#12 — Beau Mertens)
Seymour  R5: 3) CHAINSAW (#1 — Carleen Hefel)

Seymour  R6: 1) ROCK THE BAR (#4 — Daniel Stackhouse)
Seymour  R6: 2) SWIFT HIT (#7 — Thomas Spillane)
Seymour  R6: 3) VIANARRA (#11 — Jamie Mott)

Seymour  R7: 1) DEEKAYGEEBEE (#10 — John Allen)
Seymour  R7: 2) AMERICAN RUSS* (#17 — Brittany Button)
