LGBM Rank DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Ruakaka  R1: 1) KATHLEEN MARY (#10 — Jack Taplin)
Ruakaka  R1: 2) KISZKAH* (#14 — Samantha Collett)
Ruakaka  R1: 3) KUROKO (#15 — Joe Doyle)

Ruakaka  R2: 1) BEAU LUCA* (#5 — Tayla Mitchell)
Ruakaka  R2: 2) I'M DREAMING (#14 — Jasmine Fawcett)
Ruakaka  R2: 3) SAILOR SAM* (#15 — Samantha Collett)

Ruakaka  R3: 1) FANTASTIC SMILE (#5 — Jasmine Fawcett)
Ruakaka  R3: 2) CLEAT* (#1 — Gareth Lahoud)
Ruakaka  R3: 3) REPTAK* (#3 — Sam McNab)

Ruakaka  R4: 1) ILLICIT DREAMS (#4 — Jasmine Fawcett)
Ruakaka  R4: 2) HABANA** (#1 — Warren Kennedy)
Ruakaka  R4: 3) SAGUNTO* (#2 — Sam McNab)

Ruakaka  R5: 1) ARABELLA* (#8 — Jasmine Fawcett)
Ruakaka  R5: 2) BAD EDUCATION* (#1 — Sam McNab)
Ruakaka  R5: 3) CHICAGO DREAM (#4 — Floor Moerman)

Ruakaka  R6: 1) ELIZA JAMES (#7 — Jasmine Fawcett)
Ruakaka  R6: 2) CASHLA BAY* (#5 — Joe Doyle)
Ruakaka  R6: 3) LUMINANCE (#6 — Samantha Collett)

Ruakaka  R7: 1) LEITRIM LAD* (#1 — Floor Moerman)
Ruakaka  R7: 2) TRIGON LAD* (#3 — Sam McNab)
Ruakaka  R7: 3) TEXAS* (#6 — Masa Hashizume)

Ruakaka  R8: 1) BRIAN LAMONT (#1 — Tayla Mitchell)
Ruakaka  R8: 2) HOT LINE BLING* (#2 — Opie Bosson)
Ruakaka  R8: 3) PHANTOM DRAGON (#5 — Samantha Collett)

=========

New Plymouth  R1: 1) MAKE TIME (#4 — Amber Riddell)
New Plymouth  R1: 2) LADIES MAN** (#1 — Frankie Barrett)
New Plymouth  R1: 3) CHAJABA* (#2 — Elle Sole)

New Plymouth  R2: 1) LADY PERFORMER (#3 — Amber Riddell)
New Plymouth  R2: 2) FLORIN* (#2 — Elen Nicholas)
New Plymouth  R2: 3) RIDGEVIEW VICKY* (#6 — Maria Sanson)

New Plymouth  R3: 1) BELLA TIMING** (#2 — Frankie Barrett)
New Plymouth  R3: 2) POWEROFPERSUASION* (#3 — Liam Kauri)
New Plymouth  R3: 3) STONE THE CROWS (#5 — Chris Dell)

New Plymouth  R4: 1) WHEELITIN* (#3 — Sima Mxothwa)
New Plymouth  R4: 2) SWINGIT OUR WAY (#4 — Chris Dell)
New Plymouth  R4: 3) KING KHAN* (#5 — Liam Kauri)

New Plymouth  R5: 1) WHITE MASK* (#3 — Amber Riddell)
New Plymouth  R5: 2) ANOTHER WON'T HURT** (#1 — Kate Hercock)
New Plymouth  R5: 3) ELOISE (#5 — Rihaan Goyaram)

New Plymouth  R6: 1) JUST A TIPPLE* (#2 — Liam Kauri)
New Plymouth  R6: 2) BALLROOM BLITZ* (#3 — Mereana Hudson)
New Plymouth  R6: 3) FIVE BELLS (#4 — Kate Hercock)

New Plymouth  R7: 1) LOCH KATRINE* (#3 — Bridget Grylls)
New Plymouth  R7: 2) BELLES BEAU (#7 — Kelly Myers)
New Plymouth  R7: 3) SHELBYROCK'N (#8 — Kate Hercock)

New Plymouth  R8: 1) MISTER PUCCI* (#3 — Liam Kauri)
New Plymouth  R8: 2) STELLA SUCCESS (#7 — Amber Riddell)
New Plymouth  R8: 3) PIPER'S SON (#2 — Elle Sole)

=========

Rosehill  R1: 1) AUDREY'S LANE (#9 — Alysha Collett)
Rosehill  R1: 2) LASPIRIT DEELER* (#5 — Jay Ford)
Rosehill  R1: 3) BE REAL* (#1 — Kerrin McEvoy)

Rosehill  R2: 1) OCEANS OF ENERGY (#2 — Chad Schofield)
Rosehill  R2: 2) KRANICH (#3 — Zac Lloyd)
Rosehill  R2: 3) SPIRITS BURN DEEP (#12 — Molly Bourke)

