LGBM Regression DaySlip — 2025-08-14  (meets: 21, 22, 23, 24)
Bunbury  R1: 1) NOBLE REIGN* (#3 — Joey Azzopardi)
Bunbury  R1: 2) ALNAUD** (#1 — Clint Johnston-Porter)
Bunbury  R1: 3) RIBELLATO** (#4 — Laqdar Ramoly)

Bunbury  R2: 1) KERI COMMANDER* (#4 — Steven Parnham)
Bunbury  R2: 2) LORD ARCADIA** (#2 — Clint Johnston-Porter)
Bunbury  R2: 3) DAISIESFORTHELADYS (#5 — Victoria Corver)

Bunbury  R3: 1) SECRET INTENT* (#4 — Steven Parnham)
Bunbury  R3: 2) HAUNTED ANGEL (#6 — Chloe Azzopardi)
Bunbury  R3: 3) PRINCE EPAULETTE (#1 — Chanel Cooper)

Bunbury  R4: 1) SHAULA (#3 — Jason Brown)
Bunbury  R4: 2) THE LUCKY CHIP* (#5 — William Pike)
Bunbury  R4: 3) PAVLIANI (#7 — Jade McNaught)

Bunbury  R5: 1) PLAY DICE (#1 — Clint Johnston-Porter)
Bunbury  R5: 2) MAGNUM CLASS (#6 — Jade McNaught)
Bunbury  R5: 3) THREE GRAND* (#8 — Madi Derrick)

Bunbury  R6: 1) SO MUCH SERENITY (#13 — Elisha Whittington)
Bunbury  R6: 2) LUNA ASCENDING (#10 — Jade McNaught)
Bunbury  R6: 3) GREY REVOLUTION (#6 — Alex Hearn)

Bunbury  R7: 1) BAY STREET* (#12 — Amy Jo Hayes)
Bunbury  R7: 2) CANNY JACK (#6 — Jade McNaught)
Bunbury  R7: 3) LOOKS* (#8 — Alex Hearn)

=========

Ipswich  R1: 1) FORTUNATE DRAGON (#1 — Chloe Wells)
Ipswich  R1: 2) DOWNTOWN EVIE* (#5 — Dan McGillivray)
Ipswich  R1: 3) SHE'S SO SWANK* (#6 — Dale Smith)

Ipswich  R2: 1) POLE POSITION (#6 — Luke P Dempsey)
Ipswich  R2: 2) PANTELONE (#1 — Jace McMurray)
Ipswich  R2: 3) MR MIDNIGHT (#9 — Ben Thompson)

Ipswich  R3: 1) MISS DRAMATIC* (#12 — Nozi Tomizawa)
Ipswich  R3: 2) HE IS THE KISS** (#4 — Brandon Lerena)
Ipswich  R3: 3) SMART SHAZZA (#13 — Taylor Marshall)

Ipswich  R4: 1) LEICA PHERRARI (#9 — Jake Bayliss)
Ipswich  R4: 2) LOVING ANGEL (#10 — Luke Tarrant)
Ipswich  R4: 3) HOKUSAI (#8 — Kelsey Lenton)

Ipswich  R5: 1) OUR ORATOR* (#3 — Dan McGillivray)
Ipswich  R5: 2) CANISTER* (#14 — Michael Schrapel)
Ipswich  R5: 3) MINGARDOS (#12 — Tiffani Brooker)

Ipswich  R6: 1) BOLD JULIUS** (#1 — Leah Martyn)
Ipswich  R6: 2) ROCKRATA* (#17 — Tiffani Brooker)
Ipswich  R6: 3) DEFERENTIAL (#2 — Corey Sutherland)

Ipswich  R7: 1) AZAFRAN (#14 — Cejay Graham)
Ipswich  R7: 2) DIAMOND EPIC (#13 — Bailey Wheeler)
Ipswich  R7: 3) ACAPULCO GIRL** (#5 — Ryan Maloney)

=========

Newcastle  R1: 1) SEPTIMUS* (#5 — Chad Lever)
Newcastle  R1: 2) TORPEDO TED* (#6 — Keagan Latham)
Newcastle  R1: 3) FAYE RUNAWAY** (#7 — Braith Nock)

Newcastle  R2: 1) BRUT NATURE* (#2 — Jay Ford)
Newcastle  R2: 2) DOLLARS** (#3 — Ashley Morgan)
Newcastle  R2: 3) EXTRA POWER* (#4 — Keagan Latham)

Newcastle  R3: 1) HO ALOHA (#9 — Dylan Gibbons)
Newcastle  R3: 2) CHARLINA* (#6 — Winona Costin)
Newcastle  R3: 3) BURNING AMBITION* (#3 — Andrew Gibbons)

Newcastle  R4: 1) BEAU BANDIT** (#5 — Louise Day)
Newcastle  R4: 2) HOKU (#10 — Jeff Penza)
Newcastle  R4: 3) LUNA VOLANTI* (#7 — Andrew Gibbons)

Newcastle  R5: 1) I WANNA BE* (#2 — Andrew Gibbons)
Newcastle  R5: 2) THE STARS* (#8 — Rory Hutchings)
Newcastle  R5: 3) FLORAL LEGEND* (#5 — Ashley Morgan)

Newcastle  R6: 1) LADY MEMPHIS (#13 — Louise Day)
Newcastle  R6: 2) BALLINDERRY SAL** (#9 — Leeshelle Small)
Newcastle  R6: 3) AGED CARE** (#3 — Aaron Bullock)

Newcastle  R7: 1) BACKWARD GLANCE (#10 — William A Stanley)
Newcastle  R7: 2) HIPPOLYTE ROCK* (#6 — Rory Hutchings)
Newcastle  R7: 3) INNCOURT** (#2 — Ashley Morgan)

Newcastle  R8: 1) OCEAN SHORES* (#12 — Leeshelle Small)
Newcastle  R8: 2) SARASTRINA* (#11 — Mollie Fitzgerald)
Newcastle  R8: 3) OAKFIELD MAMSELLE* (#2 — Aaron Bullock)

=========

Bendigo  R1: 1) LILAC GIRL (#7 — Jett Stanley)
Bendigo  R1: 2) MILOS FILOS (#8 — Celine Gaudray)
Bendigo  R1: 3) POINT BARROW* (#10 — Daniel Stackhouse)

Bendigo  R2: 1) DANCE AND SHOUT (#6 — Stephen Brown Jnr)
Bendigo  R2: 2) WILLIE SUNSHINE (#11 — Jye McNeil)
Bendigo  R2: 3) NOT FAKE (#12 — Jason Webb)

Bendigo  R3: 1) MRS SLACK (#6 — John Keating)
Bendigo  R3: 2) ARSENALE (#2 — Daniel Moor)
Bendigo  R3: 3) SPORTS MODE* (#13 — Olivia East)

Bendigo  R4: 1) FIRST VENTURE (#15 — John Keating)
Bendigo  R4: 2) STAR OF STIRLING* (#7 — Jarrod Fry)
Bendigo  R4: 3) ROMUALD (#6 — Ethan Brown)

Bendigo  R5: 1) MALE MODEL (#12 — Craig Atkinson)
Bendigo  R5: 2) FABRICE (#2 — Luke Cartwright)
Bendigo  R5: 3) JET JITSU (#8 — Will Gordon)

Bendigo  R6: 1) MISS COTOLETTA (#9 — Lachlan Neindorf)
Bendigo  R6: 2) MOTHEREENS (#14 — Sarah Field)
Bendigo  R6: 3) BRIDGEITALL (#6 — Harry Coffey)

Bendigo  R7: 1) RAIN LORD (#10 — Jason Webb)
Bendigo  R7: 2) NONSHALAANT (#13 — Brittany Button)
Bendigo  R7: 3) SOREL RISING* (#2 — Jett Stanley)

Bendigo  R8: 1) BIT OF SHOOSH (#5 — Michael Dee)
Bendigo  R8: 2) SAWBAY* (#14 — Declan Bates)
Bendigo  R8: 3) CHEST OF GOLD (#6 — Beau Mertens)

