LGBM Regression DaySlip — 2025-08-15  (meets: 6, 21, 24, 26, 25)
Oamaru  R1: 1) QUEEN OF KINGS* (#3 — Gosen Jogoo)
Oamaru  R1: 2) GEE FORCE (#1 — Billy Jacobson)
Oamaru  R1: 3) MISS REILLY (#5 — Krishna Mudhoo)

Oamaru  R2: 1) LOOSE KNICKERS (#3 — Krishna Mudhoo)
Oamaru  R2: 2) HIGHLIGHTED* (#1 — Kylie Williams)
Oamaru  R2: 3) SCHNELL** (#9 — Corey Campbell)

Oamaru  R3: 1) PEACHY KEEN* (#6 — Gosen Jogoo)
Oamaru  R3: 2) REVERBERATIONS (#3 — Billy Jacobson)
Oamaru  R3: 3) RED INFERNO* (#4 — Kylie Williams)

Oamaru  R4: 1) FULL OF GUSTO (#2 — Billy Jacobson)
Oamaru  R4: 2) SUNNINGDALE (#9 — Terry Moseley)
Oamaru  R4: 3) HONOKA* (#6 — Kylie Williams)

Oamaru  R5: 1) HAKAHARRY (#11 — Ayush Mudhoo)
Oamaru  R5: 2) DIAMOND RIVIERE (#13 — Sanu Toolooa)
Oamaru  R5: 3) WILD JAKKAL* (#8 — Rohan Mudhoo)

Oamaru  R6: 1) RADIANT LASS (#6 — Sanu Toolooa)
Oamaru  R6: 2) TRANQUIL EYES (#7 — Yogesh Atchamah)
Oamaru  R6: 3) THE COOL ONE (#4 — Billy Jacobson)

Oamaru  R7: 1) MY BOY ZAC (#2 — Sanu Toolooa)
Oamaru  R7: 2) BELLA RAGAZZA (#6 — Leah Hemi)
Oamaru  R7: 3) MANALI (#1 — Floor Moerman)

Oamaru  R8: 1) RUBY SUNRISE (#14 — Kin Kwo)
Oamaru  R8: 2) REPROBATE (#1 — Floor Moerman)
Oamaru  R8: 3) FREEDOM REINS* (#10 — Ayush Mudhoo)

=========

Sunshine Coast  R1: 1) PIGGIETALES (#6 — Jaden Lloyd)
Sunshine Coast  R1: 2) EXODAS (#4 — Tiffani Brooker)
Sunshine Coast  R1: 3) MOONSPELL (#11 — Justin Huxtable)

Sunshine Coast  R2: 1) WELLY (#5 — Nozi Tomizawa)
Sunshine Coast  R2: 2) FROTHSAY* (#9 — Kyle Wilson-Taylor)
Sunshine Coast  R2: 3) FRENCH GUY (#4 — Micheal Hellyer)

Sunshine Coast  R3: 1) ITALIAN DANCER (#4 — Kyle Wilson-Taylor)
Sunshine Coast  R3: 2) ENCUBIERTO (#1 — Jaden Lloyd)
Sunshine Coast  R3: 3) STEP ALONG* (#7 — Tiffani Brooker)

Sunshine Coast  R4: 1) PLANNED ENCOUNTER (#14 — Karl Zechner)
Sunshine Coast  R4: 2) LIKEABEEL* (#4 — Dan McGillivray)
Sunshine Coast  R4: 3) KENSHIN MARU* (#7 — Paul Hamblin)

Sunshine Coast  R5: 1) PROPONENT* (#10 — Kenji Yoshida)
Sunshine Coast  R5: 2) BONJOUR RUPERT* (#12 — Dan McGillivray)
Sunshine Coast  R5: 3) NOTES* (#6 — Jaden Lloyd)

Sunshine Coast  R6: 1) SHAMROCK'S SECRET* (#9 — Dan McGillivray)
Sunshine Coast  R6: 2) RED FEATHER BOA* (#4 — Leah Martyn)
Sunshine Coast  R6: 3) RAPID CHEVAL* (#1 — Jaden Lloyd)

Sunshine Coast  R7: 1) OUR DRUMMER (#16 — Karl Zechner)
Sunshine Coast  R7: 2) SPELLHOUND (#4 — Jake Bayliss)
Sunshine Coast  R7: 3) ROCKY BLONDE* (#15 — Siobhan Rutledge)

=========

Seymour  R1: 1) FENESTELLA (#4 — Daniel Moor)
Seymour  R1: 2) CLASSIC GEM** (#3 — Ben Allen)
Seymour  R1: 3) OFF'N'GAWN (#5 — Zac Spain)

Seymour  R2: 1) COULDBETRACY (#6 — John Keating)
Seymour  R2: 2) LEAN MEAN JESS** (#8 — Blaike McDougall)
Seymour  R2: 3) MICKIDABEEL* (#3 — Dylan Dean)

Seymour  R3: 1) HULA DANCE (#2 — John Keating)
Seymour  R3: 2) OIE DE TOULOUSE (#4 — Stephen Brown Jnr)
Seymour  R3: 3) PARERA (#5 — Zac Spain)

Seymour  R4: 1) HIGHLAND BELLE (#4 — John Keating)
Seymour  R4: 2) BOLD OASIS (#18 — Stephen Brown Jnr)
Seymour  R4: 3) SHE'S ELUSIVE (#7 — Cameron Quilty)

Seymour  R5: 1) PARAK (#18 — Unknown)
Seymour  R5: 2) AUSSIE TOM (#15 — Cameron Quilty)
Seymour  R5: 3) PURSUANT (#13 — Jake Noonan)

Seymour  R6: 1) STAR OF BEIRUT* (#10 — John Allen)
Seymour  R6: 2) MOJO MUSIC (#1 — Lachlan King)
Seymour  R6: 3) REGAL MIGHT* (#2 — Olivia East)

Seymour  R7: 1) FLYING D'AMORE (#19 — Samantha Noble)
Seymour  R7: 2) AMERICAN RUSS* (#17 — Brittany Button)
Seymour  R7: 3) WARAKURNA (#16 — Rose Hammond)

Seymour  R8: 1) MAKUSHA* (#5 — Daniel Stackhouse)
Seymour  R8: 2) SWEET BELLA (#12 — Teo Nugent)
Seymour  R8: 3) SHE SAID (#7 — Celine Gaudray)

Seymour  R9: 1) VITRUVIUS* (#3 — Brittany Button)
Seymour  R9: 2) JAYZEAL (#15 — Teo Nugent)
Seymour  R9: 3) BELLE INFERNO (#12 — Celine Gaudray)

=========

Taree  R1: 1) FIGHTING MAGNUS* (#4 — Shae Wilkes)
Taree  R1: 2) CASINO BEAR* (#5 — Benjamin Osmond)
Taree  R1: 3) MR PLUME** (#3 — Mollie Fitzgerald)

Taree  R2: 1) COOL AZ ALETTA (#8 — Shae Wilkes)
Taree  R2: 2) NIKODY'S CASPER* (#9 — Benjamin Osmond)
Taree  R2: 3) HAYLEY'S ROCKET* (#2 — Matthew McGuren)

Taree  R3: 1) WHATSTHETIMEMRWOLF* (#1 — Matthew McGuren)
Taree  R3: 2) PURPLE KITTY (#2 — Benjamin Osmond)
Taree  R3: 3) GHAYOOR (#6 — Kacie Adams)

Taree  R4: 1) STRATEGIC FUN* (#11 — Shae Wilkes)
Taree  R4: 2) ULTIMATE REIGN (#9 — Kacie Adams)
Taree  R4: 3) NIKODY'S BINKS (#12 — Jeff Penza)

Taree  R5: 1) CLAPTONE (#7 — Zac Wadick)
Taree  R5: 2) WHERE'S THE FIRE (#10 — Shae Wilkes)
Taree  R5: 3) BOAMBEE BEACH* (#8 — Raymond Spokes)

Taree  R6: 1) SWEDEN* (#13 — Kacie Adams)
Taree  R6: 2) MISS MOLOKAI (#7 — Zac Wadick)
Taree  R6: 3) MAWSONS EXPEDITION (#4 — Matthew McGuren)

Taree  R7: 1) HYPOTHERMIA (#6 — Zac Wadick)
Taree  R7: 2) ALL TOO ROSEY (#5 — Shae Wilkes)
Taree  R7: 3) MY PEPPERJACK* (#12 — Mollie Fitzgerald)

Taree  R8: 1) WILDERNESS STAR (#12 — Kacie Adams)
Taree  R8: 2) XTRA APPROVAL (#3 — Shae Wilkes)
Taree  R8: 3) WILD CHAP* (#1 — Matthew McGuren)

=========

Tamworth  R1: 1) OUR GIRL HAYLEY* (#6 — Caine Stuart)
Tamworth  R1: 2) GREAT COSMIC* (#1 — Siena Grima)
Tamworth  R1: 3) BILLABONG ALVIN** (#2 — Aaron Bullock)

Tamworth  R2: 1) YANABAH (#7 — Unknown)
Tamworth  R2: 2) WANAVAN (#6 — Mikayla Weir)
Tamworth  R2: 3) FROSTY THE SHOWMAN (#3 — Wendy Peel)

Tamworth  R3: 1) BRUTAL ELEGANCE (#2 — Olivia Dalton)
Tamworth  R3: 2) FIZZY DIZZY (#4 — Wendy Peel)
Tamworth  R3: 3) WOOTTON PLEASE* (#12 — Andrew Gibbons)

Tamworth  R4: 1) BONFIDELITY (#5 — Wendy Peel)
Tamworth  R4: 2) I AM SMILING (#12 — Jake Pracey-Holmes)
Tamworth  R4: 3) STAR OF KONGO (#10 — Grant Buckley)

Tamworth  R5: 1) ST ROY (#13 — Serg Lisnyy)
Tamworth  R5: 2) CHEEKY NUGGET (#12 — Jenny Duggan)
Tamworth  R5: 3) DASH BY (#10 — Leeshelle Small)

Tamworth  R6: 1) HALLE BEE (#11 — Andrew Gibbons)
Tamworth  R6: 2) WESTERN CONQUEROR (#3 — Wendy Peel)
Tamworth  R6: 3) FREEDOM TO ROAM* (#12 — Siena Grima)

Tamworth  R7: 1) NEED A MIRACLE (#16 — Mitchell Bell)
Tamworth  R7: 2) GIRRAWHEEN (#7 — Grant Buckley)
Tamworth  R7: 3) RETHINK IT (#11 — Jake Pracey-Holmes)

Tamworth  R8: 1) NEED A MIRACLE (#5 — Mitchell Bell)
Tamworth  R8: 2) THE AFFIRMATIVE (#12 — Izzy Neale)
Tamworth  R8: 3) IT STAYS IN VEGAS (#10 — Leeshelle Small)

