LGBM Regression DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Ruakaka  R1: 1) KISZKAH* (#14 — Samantha Collett)
Ruakaka  R1: 2) LOOSE CHANGE (#3 — Matthew Cameron)
Ruakaka  R1: 3) ANOTHER DESTINY (#4 — Bailey Rogerson)

Ruakaka  R2: 1) SAILOR SAM* (#15 — Samantha Collett)
Ruakaka  R2: 2) BEAU LUCA* (#5 — Tayla Mitchell)
Ruakaka  R2: 3) BELLA VINDA (#16 — Joe Nishizuka)

Ruakaka  R3: 1) TOMOE GOZEN (#8 — Niranjan Parmar)
Ruakaka  R3: 2) DOMAIN ACE (#2 — Bailey Rogerson)
Ruakaka  R3: 3) NOTABADBERGS (#6 — Masa Hashizume)

Ruakaka  R4: 1) FLYING GIB (#7 — Tayla Mitchell)
Ruakaka  R4: 2) BOSCH (#5 — Samantha Collett)
Ruakaka  R4: 3) HABANA** (#1 — Warren Kennedy)

Ruakaka  R5: 1) SWERVE (#7 — Vinnie Colgan)
Ruakaka  R5: 2) COMMANDING ASPECT (#12 — Masa Hashizume)
Ruakaka  R5: 3) FERNANDEZ* (#6 — Jack Taplin)

Ruakaka  R6: 1) TAJANA (#4 — Wiremu Pinn)
Ruakaka  R6: 2) PROSPER (#9 — Matthew Cameron)
Ruakaka  R6: 3) MISS MOET ALL (#8 — Masa Hashizume)

Ruakaka  R7: 1) LEITRIM LAD* (#1 — Floor Moerman)
Ruakaka  R7: 2) I'M LULU* (#4 — Joe Doyle)
Ruakaka  R7: 3) TEXAS* (#6 — Masa Hashizume)

Ruakaka  R8: 1) SANTA CATALINA (#7 — Matthew Cameron)
Ruakaka  R8: 2) ELECTRIC DREAM (#9 — Floor Moerman)
Ruakaka  R8: 3) GAMEPLAY* (#4 — Vinnie Colgan)

=========

New Plymouth  R1: 1) CHAJABA* (#2 — Elle Sole)
New Plymouth  R1: 2) LADIES MAN** (#1 — Frankie Barrett)
New Plymouth  R1: 3) TAVIS COURT* (#3 — Kate Hercock)

New Plymouth  R2: 1) RIDGEVIEW VICKY* (#6 — Maria Sanson)
New Plymouth  R2: 2) VIOLETSRBLUE* (#7 — Elle Sole)
New Plymouth  R2: 3) FOOTLOOSE (#1 — Toni Davies)

New Plymouth  R3: 1) POWEROFPERSUASION* (#3 — Liam Kauri)
New Plymouth  R3: 2) ALMACETA* (#7 — Elen Nicholas)
New Plymouth  R3: 3) BELLA TIMING** (#2 — Frankie Barrett)

New Plymouth  R4: 1) KING KHAN* (#5 — Liam Kauri)
New Plymouth  R4: 2) IN A PICKLE (#7 — Kate Hercock)
New Plymouth  R4: 3) PICK OF THE LITTER* (#6 — Kelly Myers)

New Plymouth  R5: 1) EAGLE ROCK (#2 — Lynsey Satherley)
New Plymouth  R5: 2) O'CEIRINS BELLE* (#8 — Kelly Myers)
New Plymouth  R5: 3) ANOTHER WON'T HURT** (#1 — Kate Hercock)

New Plymouth  R6: 1) JUST A TIPPLE* (#2 — Liam Kauri)
New Plymouth  R6: 2) TOR MENT TOR* (#7 — Jim Chung)
New Plymouth  R6: 3) SMARTROAD (#8 — Kavish Chowdhoory)

New Plymouth  R7: 1) LOCH KATRINE* (#3 — Bridget Grylls)
New Plymouth  R7: 2) GHAZZAH (#14 — Liam Kauri)
New Plymouth  R7: 3) ZANZIBAR (#5 — Rihaan Goyaram)

New Plymouth  R8: 1) MISTER PUCCI* (#3 — Liam Kauri)
New Plymouth  R8: 2) BILLY BOY (#1 — Sarah O'Malley)
New Plymouth  R8: 3) COCKTAIL LAD* (#12 — Jim Chung)

=========

Rosehill  R1: 1) UNWRITTEN (#13 — Winona Costin)
Rosehill  R1: 2) LASPIRIT DEELER* (#5 — Jay Ford)
