NN DaySlip — 2025-08-14  (meets: 21, 22, 23, 24)
Bunbury  R1: 1) ALNAUD** (#1 — Clint Johnston-Porter)
Bunbury  R1: 2) NOBLE REIGN* (#3 — Joey Azzopardi)
Bunbury  R1: 3) RIBELLATO** (#4 — Laqdar Ramoly)

Bunbury  R2: 1) MISS FINKMEYER (#6 — Jason Whiting)
Bunbury  R2: 2) LORD ARCADIA** (#2 — Clint Johnston-Porter)
Bunbury  R2: 3) ARTISTRY IN MOTION* (#1 — Brad Parnham)

Bunbury  R3: 1) BELLA VIOLETTA* (#5 — Chris Parnham)
Bunbury  R3: 2) REBELNADO* (#2 — Brad Parnham)
Bunbury  R3: 3) PORTA MARCIANA (#7 — Jade McNaught)

Bunbury  R4: 1) CHEETO (#2 — Natika Riordan)
Bunbury  R4: 2) ALMAYA (#4 — Sharni Webster)
Bunbury  R4: 3) G'DAY BLOKE* (#1 — Jason Whiting)

Bunbury  R5: 1) CENTRE BOND (#3 — Jason Whiting)
Bunbury  R5: 2) RUN PATTIE RUN (#7 — Joey Azzopardi)
Bunbury  R5: 3) MAGICASH* (#5 — William Pike)

Bunbury  R6: 1) HAMADRYAD (#8 — Jason Whiting)
Bunbury  R6: 2) OUI OUI LE VET* (#5 — Brad Parnham)
Bunbury  R6: 3) MYSTERIOUS FORTUNE (#3 — Joey Azzopardi)

Bunbury  R7: 1) NO PEER (#5 — Joey Azzopardi)
Bunbury  R7: 2) WAYNE THE PAIN (#9 — Jason Whiting)
Bunbury  R7: 3) LOOKS* (#8 — Alex Hearn)

=========

Ipswich  R1: 1) MISHANI FLASH (#2 — Georgina Cartwright)
Ipswich  R1: 2) QUEENS LINES (#8 — Chelsea Baker)
Ipswich  R1: 3) SHE'S SO SWANK* (#6 — Dale Smith)

Ipswich  R2: 1) MAYNE* (#3 — Justin Huxtable)
Ipswich  R2: 2) BORN FEARLESS (#7 — Cejay Graham)
Ipswich  R2: 3) SURREAL ASCOT (#5 — Kelsey Lenton)

Ipswich  R3: 1) CHAMPAGNE TOWER (#9 — Cejay Graham)
Ipswich  R3: 2) BLACK ASSASSIN (#2 — Justin Huxtable)
Ipswich  R3: 3) HE IS THE KISS** (#4 — Brandon Lerena)

Ipswich  R4: 1) REVALENE (#5 — Chelsea Baker)
Ipswich  R4: 2) LI'L REX* (#12 — Cejay Graham)
Ipswich  R4: 3) RUSSIAN PINS (#7 — Georgina Cartwright)

Ipswich  R5: 1) SKORPIOS ISLE (#7 — Cejay Graham)
Ipswich  R5: 2) CANISTER* (#14 — Michael Schrapel)
Ipswich  R5: 3) MAURICE'S MEDAD (#1 — Kelsey Lenton)

Ipswich  R6: 1) LAVONI (#6 — Georgina Cartwright)
