NN DaySlip — 2025-08-15  (meets: 6, 21, 24, 26, 25)
Oamaru  R1: 1) PAIXIANO* (#2 — Corey Campbell)
Oamaru  R1: 2) BONNIEWEKA* (#6 — Leah Hemi)
Oamaru  R1: 3) QUEEN OF KINGS* (#3 — Gosen Jogoo)

Oamaru  R2: 1) SCHNELL** (#9 — Corey Campbell)
Oamaru  R2: 2) ILLUSIONIST (#2 — Abdul Najib)
Oamaru  R2: 3) MATAKANA PERKYNANA* (#5 — Leah Hemi)

Oamaru  R3: 1) GIANNIS (#7 — Rohan Mudhoo)
Oamaru  R3: 2) PEACHY KEEN* (#6 — Gosen Jogoo)
Oamaru  R3: 3) FLYING DUBAWI* (#10 — Leah Hemi)

Oamaru  R4: 1) ASCEND* (#1 — Corey Campbell)
Oamaru  R4: 2) LIQUID BLUE (#8 — Floor Moerman)
Oamaru  R4: 3) LOREN (#4 — Rohan Mudhoo)

Oamaru  R5: 1) I HOPE I NEVER (#4 — Abdul Najib)
Oamaru  R5: 2) JOYOLA (#10 — Floor Moerman)
Oamaru  R5: 3) EL ULTIMO (#2 — Krishna Mudhoo)

Oamaru  R6: 1) HAPPY STORY* (#2 — Kendra Bakker)
Oamaru  R6: 2) AMALYTE (#11 — Floor Moerman)
Oamaru  R6: 3) SOLAR SAINT (#9 — Rohan Mudhoo)

Oamaru  R7: 1) FAKEITTILLUMAKEIT (#3 — Krishna Mudhoo)
Oamaru  R7: 2) NIGHT RAIDER* (#4 — Kylie Williams)
Oamaru  R7: 3) EL CHAPEAU (#8 — Billy Jacobson)

Oamaru  R8: 1) CASTLEBRAE (#3 — Corey Campbell)
Oamaru  R8: 2) ORSOME DUDE (#9 — Krishna Mudhoo)
Oamaru  R8: 3) FREEDOM REINS* (#10 — Ayush Mudhoo)

=========

Sunshine Coast  R1: 1) THE WHEELBARROW* (#5 — Heavelon Van Der Hoven)
Sunshine Coast  R1: 2) TURBO TORQUE* (#3 — Ryan Maloney)
Sunshine Coast  R1: 3) NEWEVA (#12 — Jai Williams)

Sunshine Coast  R2: 1) EVELYN MAY (#8 — Matthew Gray)
Sunshine Coast  R2: 2) CAVARETTA (#7 — Ben Thompson)
Sunshine Coast  R2: 3) LADY SANTOS* (#20 — Dan McGillivray)

Sunshine Coast  R3: 1) WINCHMAN (#9 — Andrew Mallyon)
Sunshine Coast  R3: 2) PORT RIVER BILLIE (#13 — Cejay Graham)
Sunshine Coast  R3: 3) STEP ALONG* (#7 — Tiffani Brooker)

Sunshine Coast  R4: 1) WEONA REDWOOD* (#2 — Ryan Maloney)
Sunshine Coast  R4: 2) DEMARCAY (#6 — Kyle Wilson-Taylor)
Sunshine Coast  R4: 3) PAPAL MISS (#9 — Sean Cormack)

Sunshine Coast  R5: 1) BRAZEN KINGDOM (#1 — Taylor Marshall)
Sunshine Coast  R5: 2) WARNA (#8 — Kyle Wilson-Taylor)
Sunshine Coast  R5: 3) NOTES* (#6 — Jaden Lloyd)

Sunshine Coast  R6: 1) RAPID CHEVAL* (#1 — Jaden Lloyd)
Sunshine Coast  R6: 2) MILEY'S MEMORY (#7 — Nozi Tomizawa)
Sunshine Coast  R6: 3) RED FEATHER BOA* (#4 — Leah Martyn)

Sunshine Coast  R7: 1) COUNT NICHOLAS* (#2 — Kyle Wilson-Taylor)
Sunshine Coast  R7: 2) GOLD REVOLUTION* (#3 — Rob Thorburn)
Sunshine Coast  R7: 3) ROCKY BLONDE* (#15 — Siobhan Rutledge)

=========

Seymour  R1: 1) CLASSIC GEM** (#3 — Ben Allen)
Seymour  R1: 2) AFTER SUMMER* (#1 — Ben Melham)
Seymour  R1: 3) YUM (#9 — Jamie Mott)

Seymour  R2: 1) LEAN MEAN JESS** (#8 — Blaike McDougall)
Seymour  R2: 2) TERRORTORIAN (#5 — Ben Melham)
Seymour  R2: 3) SPARKELS DIOR (#10 — Emily Pozman)

Seymour  R3: 1) DIVINE CLEMENTINE* (#7 — John Allen)
Seymour  R3: 2) SUPER GROOVEY (#11 — Lachlan Neindorf)
Seymour  R3: 3) CAMP CABLE (#1 — Cory Parish)

Seymour  R4: 1) BOLONKA (#11 — Teo Nugent)
Seymour  R4: 2) FACILITATE (#8 — Ben Allen)
Seymour  R4: 3) ILOVEDIAMONDS (#5 — Tom Prebble)

Seymour  R5: 1) SILVER SPRINGS (#7 — Ben Allen)
Seymour  R5: 2) OVERTOME (#16 — Jake Duffy)
Seymour  R5: 3) SENSATIONAL SECRET (#6 — Jordan Childs)

Seymour  R6: 1) CHOICE WITNESS (#3 — Alice Kennedy)
Seymour  R6: 2) REGAL MIGHT* (#2 — Olivia East)
Seymour  R6: 3) STAR OF BEIRUT* (#10 — John Allen)

Seymour  R7: 1) ANIA (#12 — Emily Pozman)
Seymour  R7: 2) FLYCATCHER (#7 — Ms Cassidy Hill)
Seymour  R7: 3) HELLBERG (#8 — Jamie Mott)

Seymour  R8: 1) PERFETTO (#6 — Jaylah Kennedy)
Seymour  R8: 2) WHERE YA BEAN (#11 — Craig Newitt)
Seymour  R8: 3) BLAZING SWORD (#2 — Jamie Mott)

Seymour  R9: 1) FLOSSING (#2 — Emily Pozman)
Seymour  R9: 2) IRISH ROCKSTAR (#1 — Stephanie Hateley)
Seymour  R9: 3) VITRUVIUS* (#3 — Brittany Button)

=========

Taree  R1: 1) IMPERIAL HILTON (#2 — Bella Youngberry)
Taree  R1: 2) CASINO BEAR* (#5 — Benjamin Osmond)
Taree  R1: 3) MR PLUME** (#3 — Mollie Fitzgerald)

Taree  R2: 1) NIKODY'S CASPER* (#9 — Benjamin Osmond)
Taree  R2: 2) VOLARE (#7 — Adrian Layt)
Taree  R2: 3) VARAZZE* (#6 — Anna Roper)

