NN DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Ruakaka  R1: 1) ABLE DANCER (#11 — Vinnie Colgan)
Ruakaka  R1: 2) JUST A LITTLETIPSY (#6 — Floor Moerman)
Ruakaka  R1: 3) GREAT ADVENTURE (#5 — Masa Hashizume)

Ruakaka  R2: 1) BREGO (#2 — Opie Bosson)
Ruakaka  R2: 2) KATAMUKU (#9 — Sam McNab)
Ruakaka  R2: 3) WITHALLMYDREAM (#10 — Matthew Cameron)

Ruakaka  R3: 1) REPTAK* (#3 — Sam McNab)
Ruakaka  R3: 2) AGE OF DISCOVERY (#4 — Opie Bosson)
Ruakaka  R3: 3) CLEAT* (#1 — Gareth Lahoud)

Ruakaka  R4: 1) SAGUNTO* (#2 — Sam McNab)
Ruakaka  R4: 2) HABANA** (#1 — Warren Kennedy)
Ruakaka  R4: 3) TUXEDO (#6 — Michael McNab)

Ruakaka  R5: 1) BAD EDUCATION* (#1 — Sam McNab)
Ruakaka  R5: 2) FERNANDEZ* (#6 — Jack Taplin)
Ruakaka  R5: 3) ARABELLA* (#8 — Jasmine Fawcett)

Ruakaka  R6: 1) YOKOZUNA (#2 — Vinnie Colgan)
Ruakaka  R6: 2) GENEVA (#1 — Michael McNab)
Ruakaka  R6: 3) CASHLA BAY* (#5 — Joe Doyle)

Ruakaka  R7: 1) TRIGON LAD* (#3 — Sam McNab)
Ruakaka  R7: 2) I'M LULU* (#4 — Joe Doyle)
Ruakaka  R7: 3) BASSOROC (#10 — Jack Taplin)

Ruakaka  R8: 1) SUPER ROSA (#6 — Michael McNab)
Ruakaka  R8: 2) HOT LINE BLING* (#2 — Opie Bosson)
Ruakaka  R8: 3) GAMEPLAY* (#4 — Vinnie Colgan)

=========

New Plymouth  R1: 1) LADIES MAN** (#1 — Frankie Barrett)
New Plymouth  R1: 2) MADAME MOET (#5 — Mereana Hudson)
New Plymouth  R1: 3) TAVIS COURT* (#3 — Kate Hercock)

New Plymouth  R2: 1) FLORIN* (#2 — Elen Nicholas)
New Plymouth  R2: 2) ITOJE (#5 — Mereana Hudson)
New Plymouth  R2: 3) VIOLETSRBLUE* (#7 — Elle Sole)

New Plymouth  R3: 1) ALMACETA* (#7 — Elen Nicholas)
New Plymouth  R3: 2) BELLA TIMING** (#2 — Frankie Barrett)
New Plymouth  R3: 3) POLLYISACRACKER (#6 — Sima Mxothwa)

New Plymouth  R4: 1) ROSETOWN PRINCESS (#8 — Elen Nicholas)
