Starred (** only) — 2025-08-14  (meets: 21, 22, 23, 24)
Meet 21 | Bunbury  R1: ALNAUD** (#1 — Clint Johnston-Porter)
Meet 21 | Bunbury  R1: RIBELLATO** (#4 — Laqdar Ramoly)
Meet 21 | Bunbury  R2: LORD ARCADIA** (#2 — Clint Johnston-Porter)
Meet 22 | Ipswich  R3: HE IS THE KISS** (#4 — Brandon Lerena)
Meet 22 | Ipswich  R6: BOLD JULIUS** (#1 — Leah Martyn)
Meet 22 | Ipswich  R7: ACAPULCO GIRL** (#5 — Ryan Maloney)
Meet 23 | Newcastle  R1: FAYE RUNAWAY** (#7 — Braith Nock)
Meet 23 | Newcastle  R2: DOLLARS** (#3 — Ashley Morgan)
Meet 23 | Newcastle  R4: BEAU BANDIT** (#5 — Louise Day)
Meet 23 | Newcastle  R6: AGED CARE** (#3 — Aaron Bullock)
Meet 23 | Newcastle  R6: BALLINDERRY SAL** (#9 — Leeshelle Small)
Meet 23 | Newcastle  R7: INNCOURT** (#2 — Ashley Morgan)
