date,meeting_number,meeting_venue,race_number,race_name,distance,track_condition,weather,advertised_start,runner_number,runner_name,barrier,jockey,win_fixed,place_fixed,win_tote,place_tote,finish_position,advertised_start_iso
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,1,Nighthawk Jet,1,,,,7.4,4.2,1.0,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,2,Silky Adobe,2,,,,,,,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,3,Vacant Box,3,,,,,,,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,4,Big Time Jaya,4,,,,11.7,7.7,3.0,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,5,Big Time Special,5,,,,6.2,2.1,5.0,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,6,Vacant Box,6,,,,,,,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,7,Pryor Bale,7,,,,13.8,8.7,4.0,
2024-07-30,3,Palmerston North,1,GEORGE SIMON: PAUL CLARIDGE ELECTRICAL C1/C2,,,FINE,,8,Johnny Football,8,,,,1.3,1.0,2.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,1,Goldstar Whippy,1,,,,7.4,1.8,4.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,2,Sefton Heights,2,,,,4.4,1.4,1.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,3,Opawa Stacy,3,,,,2.5,1.5,3.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,4,Why A Rapper,4,,,,17.0,3.2,7.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,5,Rock It Rapper,5,,,,12.8,3.4,6.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,6,Long Non White,6,,,,10.9,3.5,2.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,7,Rapaki Rocks,7,,,,7.4,1.9,8.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,8,Big Time Ultra,8,,,,13.6,3.3,5.0,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,9,Time To Race,0,,,,,,,
2024-07-30,3,Palmerston North,2,RANI HAMMOND: JOLT COFFEE HOUSE C0 660M FEATURE,,,FINE,,10,Alpha Rambo,0,,,,,,,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,1,Pop It Rapper,1,,,,41.7,4.2,3.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,2,Big Time Zip,2,,,,6.5,2.0,4.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,3,Swift Shadow,3,,,,6.5,1.5,7.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,4,Big Time Tawny,4,,,,8.6,2.8,8.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,5,Stop Working,5,,,,18.6,3.8,2.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,6,Claws In Bree,6,,,,21.0,2.2,6.0,
2024-07-30,3,Palmerston North,3,PHILLIPA MORRIS: PAUL CLARIDGE EQUINE EDUCATION,,,FINE,,7,Goldstar Autumn,7,,,,42.6,3.6,5.0,
